prompt_id,prompt
1,"The impact of clean water and sanitation on global health."
2,"How can affordable and clean energy promote sustainable development?"
3,"The role of quality education in reducing inequality."
4,"Strategies to achieve zero hunger in developing countries."
5,"How can responsible consumption and production be promoted?"
6,"The importance of gender equality in sustainable development."
7,"Innovations in industry, infrastructure, and reducing poverty."
8,"The effects of climate action on global food security."
9,"Sustainable cities and communities: Challenges and solutions."
10,"How can partnerships for the goals be strengthened?"
11,"The impact of reduced inequalities on economic growth."
12,"The importance of life on land for maintaining biodiversity."
13,"Promoting peace, justice, and strong institutions in conflict zones."
14,"How does life below water contribute to global ecosystems?"
15,"The role of decent work and economic growth in eradicating poverty."
